dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,poke_links,generation,image_url
0056,Mankey,Fighting,None,305,40,80,35,35,45,70,https://pokemondb.net/pokedex/mankey,1,https://img.pokemondb.net/artwork/large/mankey.jpg
0057,Primeape,Fighting,None,455,65,105,60,60,70,95,https://pokemondb.net/pokedex/primeape,1,https://img.pokemondb.net/artwork/large/primeape.jpg
0058,Growlithe,Fire,None,350,55,70,45,70,50,60,https://pokemondb.net/pokedex/growlithe,1,https://img.pokemondb.net/artwork/large/growlithe.jpg
0059,Arcanine,Fire,None,555,90,110,80,100,80,95,https://pokemondb.net/pokedex/arcanine,1,https://img.pokemondb.net/artwork/large/arcanine.jpg
0060,Poliwag,Water,None,300,40,50,40,40,40,90,https://pokemondb.net/pokedex/poliwag,1,https://img.pokemondb.net/artwork/large/poliwag.jpg
0061,Poliwhirl,Water,None,385,65,65,65,50,50,90,https://pokemondb.net/pokedex/poliwhirl,1,https://img.pokemondb.net/artwork/large/poliwhirl.jpg
0062,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,https://pokemondb.net/pokedex/poliwrath,1,https://img.pokemondb.net/artwork/large/poliwrath.jpg
0063,Abra,Psychic,None,310,25,20,15,105,55,90,https://pokemondb.net/pokedex/abra,1,https://img.pokemondb.net/artwork/large/abra.jpg
0064,Kadabra,Psychic,None,400,40,35,30,120,70,105,https://pokemondb.net/pokedex/kadabra,1,https://img.pokemondb.net/artwork/large/kadabra.jpg
0065,Alakazam,Psychic,None,500,55,50,45,135,95,120,https://pokemondb.net/pokedex/alakazam,1,https://img.pokemondb.net/artwork/large/alakazam.jpg
0066,Machop,Fighting,None,305,70,80,50,35,35,35,https://pokemondb.net/pokedex/machop,1,https://img.pokemondb.net/artwork/large/machop.jpg
0067,Machoke,Fighting,None,405,80,100,70,50,60,45,https://pokemondb.net/pokedex/machoke,1,https://img.pokemondb.net/artwork/large/machoke.jpg
0068,Machamp,Fighting,None,505,90,130,80,65,85,55,https://pokemondb.net/pokedex/machamp,1,https://img.pokemondb.net/artwork/large/machamp.jpg
0069,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,https://pokemondb.net/pokedex/bellsprout,1,https://img.pokemondb.net/artwork/large/bellsprout.jpg
0070,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,https://pokemondb.net/pokedex/weepinbell,1,https://img.pokemondb.net/artwork/large/weepinbell.jpg
0071,Victreebel,Grass,Poison,490,80,105,65,100,70,70,https://pokemondb.net/pokedex/victreebel,1,https://img.pokemondb.net/artwork/large/victreebel.jpg
0072,Tentacool,Water,Poison,335,40,40,35,50,100,70,https://pokemondb.net/pokedex/tentacool,1,https://img.pokemondb.net/artwork/large/tentacool.jpg
0073,Tentacruel,Water,Poison,515,80,70,65,80,120,100,https://pokemondb.net/pokedex/tentacruel,1,https://img.pokemondb.net/artwork/large/tentacruel.jpg
0074,Geodude,Rock,Ground,300,40,80,100,30,30,20,https://pokemondb.net/pokedex/geodude,1,https://img.pokemondb.net/artwork/large/geodude.jpg
0075,Graveler,Rock,Ground,390,55,95,115,45,45,35,https://pokemondb.net/pokedex/graveler,1,https://img.pokemondb.net/artwork/large/graveler.jpg
0076,Golem,Rock,Ground,495,80,120,130,55,65,45,https://pokemondb.net/pokedex/golem,1,https://img.pokemondb.net/artwork/large/golem.jpg
0077,Ponyta,Fire,None,410,50,85,55,65,65,90,https://pokemondb.net/pokedex/ponyta,1,https://img.pokemondb.net/artwork/large/ponyta.jpg
0078,Rapidash,Fire,None,500,65,100,70,80,80,105,https://pokemondb.net/pokedex/rapidash,1,https://img.pokemondb.net/artwork/large/rapidash.jpg
0079,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,https://pokemondb.net/pokedex/slowpoke,1,https://img.pokemondb.net/artwork/large/slowpoke.jpg
0080,Slowbro,Water,Psychic,490,95,75,110,100,80,30,https://pokemondb.net/pokedex/slowbro,1,https://img.pokemondb.net/artwork/large/slowbro.jpg
0081,Magnemite,Electric,Steel,325,25,35,70,95,55,45,https://pokemondb.net/pokedex/magnemite,1,https://img.pokemondb.net/artwork/large/magnemite.jpg
0082,Magneton,Electric,Steel,465,50,60,95,120,70,70,https://pokemondb.net/pokedex/magneton,1,https://img.pokemondb.net/artwork/large/magneton.jpg
0083,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,https://pokemondb.net/pokedex/farfetchd,1,https://img.pokemondb.net/artwork/large/farfetchd.jpg
0084,Doduo,Normal,Flying,310,35,85,45,35,35,75,https://pokemondb.net/pokedex/doduo,1,https://img.pokemondb.net/artwork/large/doduo.jpg
0085,Dodrio,Normal,Flying,470,60,110,70,60,60,110,https://pokemondb.net/pokedex/dodrio,1,https://img.pokemondb.net/artwork/large/dodrio.jpg
0086,Seel,Water,None,325,65,45,55,45,70,45,https://pokemondb.net/pokedex/seel,1,https://img.pokemondb.net/artwork/large/seel.jpg
0087,Dewgong,Water,Ice,475,90,70,80,70,95,70,https://pokemondb.net/pokedex/dewgong,1,https://img.pokemondb.net/artwork/large/dewgong.jpg
0088,Grimer,Poison,None,325,80,80,50,40,50,25,https://pokemondb.net/pokedex/grimer,1,https://img.pokemondb.net/artwork/large/grimer.jpg
0089,Muk,Poison,None,500,105,105,75,65,100,50,https://pokemondb.net/pokedex/muk,1,https://img.pokemondb.net/artwork/large/muk.jpg
0090,Shellder,Water,None,305,30,65,100,45,25,40,https://pokemondb.net/pokedex/shellder,1,https://img.pokemondb.net/artwork/large/shellder.jpg
0091,Cloyster,Water,Ice,525,50,95,180,85,45,70,https://pokemondb.net/pokedex/cloyster,1,https://img.pokemondb.net/artwork/large/cloyster.jpg
0092,Gastly,Ghost,Poison,310,30,35,30,100,35,80,https://pokemondb.net/pokedex/gastly,1,https://img.pokemondb.net/artwork/large/gastly.jpg
0093,Haunter,Ghost,Poison,405,45,50,45,115,55,95,https://pokemondb.net/pokedex/haunter,1,https://img.pokemondb.net/artwork/large/haunter.jpg
0094,Gengar,Ghost,Poison,500,60,65,60,130,75,110,https://pokemondb.net/pokedex/gengar,1,https://img.pokemondb.net/artwork/large/gengar.jpg
0095,Onix,Rock,Ground,385,35,45,160,30,45,70,https://pokemondb.net/pokedex/onix,1,https://img.pokemondb.net/artwork/large/onix.jpg
0096,Drowzee,Psychic,None,328,60,48,45,43,90,42,https://pokemondb.net/pokedex/drowzee,1,https://img.pokemondb.net/artwork/large/drowzee.jpg
0097,Hypno,Psychic,None,483,85,73,70,73,115,67,https://pokemondb.net/pokedex/hypno,1,https://img.pokemondb.net/artwork/large/hypno.jpg
0098,Krabby,Water,None,325,30,105,90,25,25,50,https://pokemondb.net/pokedex/krabby,1,https://img.pokemondb.net/artwork/large/krabby.jpg
0099,Kingler,Water,None,475,55,130,115,50,50,75,https://pokemondb.net/pokedex/kingler,1,https://img.pokemondb.net/artwork/large/kingler.jpg
0100,Voltorb,Electric,None,330,40,30,50,55,55,100,https://pokemondb.net/pokedex/voltorb,1,https://img.pokemondb.net/artwork/large/voltorb.jpg
0101,Electrode,Electric,None,490,60,50,70,80,80,150,https://pokemondb.net/pokedex/electrode,1,https://img.pokemondb.net/artwork/large/electrode.jpg
0102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,https://pokemondb.net/pokedex/exeggcute,1,https://img.pokemondb.net/artwork/large/exeggcute.jpg
0103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,https://pokemondb.net/pokedex/exeggutor,1,https://img.pokemondb.net/artwork/large/exeggutor.jpg
0104,Cubone,Ground,None,320,50,50,95,40,50,35,https://pokemondb.net/pokedex/cubone,1,https://img.pokemondb.net/artwork/large/cubone.jpg
0105,Marowak,Ground,None,425,60,80,110,50,80,45,https://pokemondb.net/pokedex/marowak,1,https://img.pokemondb.net/artwork/large/marowak.jpg
0106,Hitmonlee,Fighting,None,455,50,120,53,35,110,87,https://pokemondb.net/pokedex/hitmonlee,1,https://img.pokemondb.net/artwork/large/hitmonlee.jpg
0107,Hitmonchan,Fighting,None,455,50,105,79,35,110,76,https://pokemondb.net/pokedex/hitmonchan,1,https://img.pokemondb.net/artwork/large/hitmonchan.jpg
0108,Lickitung,Normal,None,385,90,55,75,60,75,30,https://pokemondb.net/pokedex/lickitung,1,https://img.pokemondb.net/artwork/large/lickitung.jpg
0109,Koffing,Poison,None,340,40,65,95,60,45,35,https://pokemondb.net/pokedex/koffing,1,https://img.pokemondb.net/artwork/large/koffing.jpg
0110,Weezing,Poison,None,490,65,90,120,85,70,60,https://pokemondb.net/pokedex/weezing,1,https://img.pokemondb.net/artwork/large/weezing.jpg
0111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,https://pokemondb.net/pokedex/rhyhorn,1,https://img.pokemondb.net/artwork/large/rhyhorn.jpg
0112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,https://pokemondb.net/pokedex/rhydon,1,https://img.pokemondb.net/artwork/large/rhydon.jpg
0113,Chansey,Normal,None,450,250,5,5,35,105,50,https://pokemondb.net/pokedex/chansey,1,https://img.pokemondb.net/artwork/large/chansey.jpg
0114,Tangela,Grass,None,435,65,55,115,100,40,60,https://pokemondb.net/pokedex/tangela,1,https://img.pokemondb.net/artwork/large/tangela.jpg
0115,Kangaskhan,Normal,None,490,105,95,80,40,80,90,https://pokemondb.net/pokedex/kangaskhan,1,https://img.pokemondb.net/artwork/large/kangaskhan.jpg
0116,Horsea,Water,None,295,30,40,70,70,25,60,https://pokemondb.net/pokedex/horsea,1,https://img.pokemondb.net/artwork/large/horsea.jpg
0117,Seadra,Water,None,440,55,65,95,95,45,85,https://pokemondb.net/pokedex/seadra,1,https://img.pokemondb.net/artwork/large/seadra.jpg
0118,Goldeen,Water,None,320,45,67,60,35,50,63,https://pokemondb.net/pokedex/goldeen,1,https://img.pokemondb.net/artwork/large/goldeen.jpg
0119,Seaking,Water,None,450,80,92,65,65,80,68,https://pokemondb.net/pokedex/seaking,1,https://img.pokemondb.net/artwork/large/seaking.jpg
0120,Staryu,Water,None,340,30,45,55,70,55,85,https://pokemondb.net/pokedex/staryu,1,https://img.pokemondb.net/artwork/large/staryu.jpg
0121,Starmie,Water,Psychic,520,60,75,85,100,85,115,https://pokemondb.net/pokedex/starmie,1,https://img.pokemondb.net/artwork/large/starmie.jpg
0122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,https://pokemondb.net/pokedex/mr-mime,1,https://img.pokemondb.net/artwork/large/mr-mime.jpg
0123,Scyther,Bug,Flying,500,70,110,80,55,80,105,https://pokemondb.net/pokedex/scyther,1,https://img.pokemondb.net/artwork/large/scyther.jpg
0124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,https://pokemondb.net/pokedex/jynx,1,https://img.pokemondb.net/artwork/large/jynx.jpg
0125,Electabuzz,Electric,None,490,65,83,57,95,85,105,https://pokemondb.net/pokedex/electabuzz,1,https://img.pokemondb.net/artwork/large/electabuzz.jpg
0126,Magmar,Fire,None,495,65,95,57,100,85,93,https://pokemondb.net/pokedex/magmar,1,https://img.pokemondb.net/artwork/large/magmar.jpg
0127,Pinsir,Bug,None,500,65,125,100,55,70,85,https://pokemondb.net/pokedex/pinsir,1,https://img.pokemondb.net/artwork/large/pinsir.jpg
0128,Tauros,Normal,None,490,75,100,95,40,70,110,https://pokemondb.net/pokedex/tauros,1,https://img.pokemondb.net/artwork/large/tauros.jpg
0129,Magikarp,Water,None,200,20,10,55,15,20,80,https://pokemondb.net/pokedex/magikarp,1,https://img.pokemondb.net/artwork/large/magikarp.jpg
0130,Gyarados,Water,Flying,540,95,125,79,60,100,81,https://pokemondb.net/pokedex/gyarados,1,https://img.pokemondb.net/artwork/large/gyarados.jpg
0131,Lapras,Water,Ice,535,130,85,80,85,95,60,https://pokemondb.net/pokedex/lapras,1,https://img.pokemondb.net/artwork/large/lapras.jpg
0132,Ditto,Normal,None,288,48,48,48,48,48,48,https://pokemondb.net/pokedex/ditto,1,https://img.pokemondb.net/artwork/large/ditto.jpg
0133,Eevee,Normal,None,325,55,55,50,45,65,55,https://pokemondb.net/pokedex/eevee,1,https://img.pokemondb.net/artwork/large/eevee.jpg
0134,Vaporeon,Water,None,525,130,65,60,110,95,65,https://pokemondb.net/pokedex/vaporeon,1,https://img.pokemondb.net/artwork/large/vaporeon.jpg
0135,Jolteon,Electric,None,525,65,65,60,110,95,130,https://pokemondb.net/pokedex/jolteon,1,https://img.pokemondb.net/artwork/large/jolteon.jpg
0136,Flareon,Fire,None,525,65,130,60,95,110,65,https://pokemondb.net/pokedex/flareon,1,https://img.pokemondb.net/artwork/large/flareon.jpg
0137,Porygon,Normal,None,395,65,60,70,85,75,40,https://pokemondb.net/pokedex/porygon,1,https://img.pokemondb.net/artwork/large/porygon.jpg
0138,Omanyte,Rock,Water,355,35,40,100,90,55,35,https://pokemondb.net/pokedex/omanyte,1,https://img.pokemondb.net/artwork/large/omanyte.jpg
0139,Omastar,Rock,Water,495,70,60,125,115,70,55,https://pokemondb.net/pokedex/omastar,1,https://img.pokemondb.net/artwork/large/omastar.jpg
0140,Kabuto,Rock,Water,355,30,80,90,55,45,55,https://pokemondb.net/pokedex/kabuto,1,https://img.pokemondb.net/artwork/large/kabuto.jpg
0141,Kabutops,Rock,Water,495,60,115,105,65,70,80,https://pokemondb.net/pokedex/kabutops,1,https://img.pokemondb.net/artwork/large/kabutops.jpg
0142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,https://pokemondb.net/pokedex/aerodactyl,1,https://img.pokemondb.net/artwork/large/aerodactyl.jpg
0143,Snorlax,Normal,None,540,160,110,65,65,110,30,https://pokemondb.net/pokedex/snorlax,1,https://img.pokemondb.net/artwork/large/snorlax.jpg
0144,Articuno,Ice,Flying,580,90,85,100,95,125,85,https://pokemondb.net/pokedex/articuno,1,https://img.pokemondb.net/artwork/large/articuno.jpg
0145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,https://pokemondb.net/pokedex/zapdos,1,https://img.pokemondb.net/artwork/large/zapdos.jpg
0146,Moltres,Fire,Flying,580,90,100,90,125,85,90,https://pokemondb.net/pokedex/moltres,1,https://img.pokemondb.net/artwork/large/moltres.jpg
0147,Dratini,Dragon,None,300,41,64,45,50,50,50,https://pokemondb.net/pokedex/dratini,1,https://img.pokemondb.net/artwork/large/dratini.jpg
0148,Dragonair,Dragon,None,420,61,84,65,70,70,70,https://pokemondb.net/pokedex/dragonair,1,https://img.pokemondb.net/artwork/large/dragonair.jpg
0149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,https://pokemondb.net/pokedex/dragonite,1,https://img.pokemondb.net/artwork/large/dragonite.jpg
0150,Mewtwo,Psychic,None,680,106,110,90,154,90,130,https://pokemondb.net/pokedex/mewtwo,1,https://img.pokemondb.net/artwork/large/mewtwo.jpg
0151,Mew,Psychic,None,600,100,100,100,100,100,100,https://pokemondb.net/pokedex/mew,1,https://img.pokemondb.net/artwork/large/mew.jpg
0152,Chikorita,Grass,None,318,45,49,65,49,65,45,https://pokemondb.net/pokedex/chikorita,2,https://img.pokemondb.net/artwork/large/chikorita.jpg
0153,Bayleef,Grass,None,405,60,62,80,63,80,60,https://pokemondb.net/pokedex/bayleef,2,https://img.pokemondb.net/artwork/large/bayleef.jpg
0154,Meganium,Grass,None,525,80,82,100,83,100,80,https://pokemondb.net/pokedex/meganium,2,https://img.pokemondb.net/artwork/large/meganium.jpg
0155,Cyndaquil,Fire,None,309,39,52,43,60,50,65,https://pokemondb.net/pokedex/cyndaquil,2,https://img.pokemondb.net/artwork/large/cyndaquil.jpg
0156,Quilava,Fire,None,405,58,64,58,80,65,80,https://pokemondb.net/pokedex/quilava,2,https://img.pokemondb.net/artwork/large/quilava.jpg
0157,Typhlosion,Fire,None,534,78,84,78,109,85,100,https://pokemondb.net/pokedex/typhlosion,2,https://img.pokemondb.net/artwork/large/typhlosion.jpg
0158,Totodile,Water,None,314,50,65,64,44,48,43,https://pokemondb.net/pokedex/totodile,2,https://img.pokemondb.net/artwork/large/totodile.jpg
0159,Croconaw,Water,None,405,65,80,80,59,63,58,https://pokemondb.net/pokedex/croconaw,2,https://img.pokemondb.net/artwork/large/croconaw.jpg
0160,Feraligatr,Water,None,530,85,105,100,79,83,78,https://pokemondb.net/pokedex/feraligatr,2,https://img.pokemondb.net/artwork/large/feraligatr.jpg
0161,Sentret,Normal,None,215,35,46,34,35,45,20,https://pokemondb.net/pokedex/sentret,2,https://img.pokemondb.net/artwork/large/sentret.jpg
0162,Furret,Normal,None,415,85,76,64,45,55,90,https://pokemondb.net/pokedex/furret,2,https://img.pokemondb.net/artwork/large/furret.jpg
0163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,https://pokemondb.net/pokedex/hoothoot,2,https://img.pokemondb.net/artwork/large/hoothoot.jpg
0164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,https://pokemondb.net/pokedex/noctowl,2,https://img.pokemondb.net/artwork/large/noctowl.jpg
0165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,https://pokemondb.net/pokedex/ledyba,2,https://img.pokemondb.net/artwork/large/ledyba.jpg
0166,Ledian,Bug,Flying,390,55,35,50,55,110,85,https://pokemondb.net/pokedex/ledian,2,https://img.pokemondb.net/artwork/large/ledian.jpg
0167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,https://pokemondb.net/pokedex/spinarak,2,https://img.pokemondb.net/artwork/large/spinarak.jpg
0168,Ariados,Bug,Poison,400,70,90,70,60,70,40,https://pokemondb.net/pokedex/ariados,2,https://img.pokemondb.net/artwork/large/ariados.jpg
0169,Crobat,Poison,Flying,535,85,90,80,70,80,130,https://pokemondb.net/pokedex/crobat,2,https://img.pokemondb.net/artwork/large/crobat.jpg
0170,Chinchou,Water,Electric,330,75,38,38,56,56,67,https://pokemondb.net/pokedex/chinchou,2,https://img.pokemondb.net/artwork/large/chinchou.jpg
0171,Lanturn,Water,Electric,460,125,58,58,76,76,67,https://pokemondb.net/pokedex/lanturn,2,https://img.pokemondb.net/artwork/large/lanturn.jpg
0172,Pichu,Electric,None,205,20,40,15,35,35,60,https://pokemondb.net/pokedex/pichu,2,https://img.pokemondb.net/artwork/large/pichu.jpg
0173,Cleffa,Fairy,None,218,50,25,28,45,55,15,https://pokemondb.net/pokedex/cleffa,2,https://img.pokemondb.net/artwork/large/cleffa.jpg
0174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,https://pokemondb.net/pokedex/igglybuff,2,https://img.pokemondb.net/artwork/large/igglybuff.jpg
0175,Togepi,Fairy,None,245,35,20,65,40,65,20,https://pokemondb.net/pokedex/togepi,2,https://img.pokemondb.net/artwork/large/togepi.jpg
0176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,https://pokemondb.net/pokedex/togetic,2,https://img.pokemondb.net/artwork/large/togetic.jpg
0177,Natu,Psychic,Flying,320,40,50,45,70,45,70,https://pokemondb.net/pokedex/natu,2,https://img.pokemondb.net/artwork/large/natu.jpg
